,subject,body,department
188,BassHub Pro Buttons Not Working - Order #12345,"Hello, I recently purchased the BassHub Pro (Order #12345 on 05/15/2023) and have been experiencing issues with the buttons. They are unresponsive when pressed, making it difficult to use the device. I've tried resetting it, but the problem persists. Could you please advise on how to resolve this? Thank you for your help.",Tech Support
189,EchoWave Mini not working - Order #12345,"Just got the EchoWave Mini (Order #12345, delivered 10/15/23). The damn thing won't respond to any commands. Tried resetting, still nothing. Fix it.",Tech Support
190,BassHub Pro not working?,"Hi, my BassHub Pro isn't producing any sound. I'm on firmware 2.7.8. Is this a known issue? Do I need to update or reset something?",Tech Support
191,Why is my StreamLink Hub volume so low?,I just updated to firmware 5.6.4 and now the volume is barely audible. Fix this ASAP.,Tech Support
192,Is this how the BassHub Pro is supposed to sound?,"I updated to firmware 4.9.9 and now there's this annoying buzzing noise. Not exactly what I paid for, is it?",Tech Support
193,EchoWave One Plus keeps disconnecting randomly - Order #EW2023-45678,"Hello, I purchased an EchoWave One Plus (Order #EW2023-45678, purchased on October 15, 2023) and it keeps disconnecting randomly. I've updated to firmware version 4.2.0 but the issue persists. This is very frustrating as I use it for work calls. Can you help me resolve this?",Tech Support
194,Question about charging my WavePanel Touch,"Hello there! I hope this message finds you well. I wanted to kindly inquire about an issue I'm experiencing with my WavePanel Touch. It seems to be having some trouble with charging properly. I've tried a few different outlets and cables, but the problem persists. I was wondering if you might have any suggestions or if this is a known issue? Thank you so much for your time and assistance!",Tech Support
195,Need help choosing the right model,"Hi, I'm looking to buy a new pair of headphones but I'm not sure which model would be best for me. I mostly use them for commuting and occasional workouts. Can you recommend a model from your lineup that would suit my needs? I was looking at the SoundFlow X3 and the AudioFit Pro, but I'm open to suggestions. My order number is #123456 from 05/15/2023, but this is just for reference as I haven't purchased the headphones yet. Thanks for your help!",Tech Support
196,Is this thing waterproof or what?,Bought your earbuds. Can I swim with them or not?,Tech Support
197,AuraPods overheating issue,"My AuraPods keep getting too hot, even with the latest firmware. This is really frustrating.",Tech Support
198,BassHub Pro issue,"Hi, my BassHub Pro keeps restarting and I'm not sure what to do. Could you help?",Tech Support
199,AuraPods keep dropping,Disconnects all the time. 3.9.2 firmware. Fix this!!,Tech Support
200,StreamLink Hub touch panel issue?,"Hey there! I just got my StreamLink Hub and it's amazing, but the touch panel isn't responding. Is there a quick fix for this? Thanks!",Tech Support
201,Question about blinking lights on my EchoWave One Plus,"Hi there, I recently got the EchoWave One Plus and noticed the lights keep blinking. Is this normal or should I be concerned? Thanks for your help!",Tech Support
202,"Yo, my BassHub Pro won't charge?","Hey, so my BassHub Pro is acting up - it's not charging properly. I'm on firmware 3.3.2. What's the deal?",Tech Support
203,Need help choosing the right product?,"Hi, I'm looking for some advice on which of your products would work best for my setup. I have a home studio and need something that can handle multiple inputs. Can you recommend something? Also, what's the difference between your X and Y models? Thanks!",Tech Support
204,BassHub Pro firmware update issue?,"Hi, I updated my BassHub Pro Limited and now it's not working right. The lights are blinking weird and no sound comes out. Did the update break it? How do I fix this?",Tech Support
205,Why does my EchoWave One Plus keep disconnecting?,I've been having issues with my EchoWave One Plus randomly disconnecting. It's running firmware version 3.8.2. This is really frustrating. Can you help?,Tech Support
206,Compatibility Question About My Order #12345 - Bose QuietComfort 45 Headphones,"I ordered the Bose QuietComfort 45 headphones (Order #12345 on 05/15/2023) and need to know if they're compatible with my Windows 11 system. The product page didn't specify, and I need a clear answer ASAP. Don't give me some generic response - I want a definitive yes or no. If they're not compatible, I'll be returning them immediately.",Tech Support
207,What does the app require to work?,"Hi, I just downloaded your app but it's not working. What does it need to run properly? Do I need any special permissions or hardware? Thanks.",Tech Support
208,Will this work with my setup?,I need to know if your product is compatible with my system before I buy it. Don't want to waste my time or money.,Tech Support
209,StreamLink Hub not connecting?,"Hi, I just got the StreamLink Hub but the app can't find the device. I followed the instructions but it's still not working. Is there something I missed? Also, do I need to update the firmware first?",Tech Support
210,MY AURAPODS GEN 2 ARE BUZZING LIKE CRAZY!!! ORDER #AU45678,I BOUGHT THESE AURAPODS GEN 2 ON OCTOBER 15TH (ORDER #AU45678) AND THEY STARTED MAKING A HORRIBLE STATIC NOISE AFTER 2 DAYS OF USE!!! I PAID GOOD MONEY FOR THIS AND IT'S UNUSABLE!!! FIX THIS NOW OR I WANT A FULL REFUND!!!,Tech Support
211,"Question about features of my SoundBlaster X3 (Order #SBX3-2023-456, purchased 10/15/2023)","Hi, I recently purchased the SoundBlaster X3 and I'm a bit confused about its features. The product page mentioned something about 'Super X-Fi' and '7.1 virtual surround', but I can't find these options in the control panel. Are these features included with my model? Also, does it support Bluetooth audio output or just input? I'd appreciate any clarification on what exactly this device can do. Thanks!",Tech Support
212,Question about blinking lights on StreamLink Hub,"Hi, I recently noticed that my StreamLink Hub has been blinking its lights constantly. I'm currently running firmware version 4.6.2. Is this normal behavior or should I be concerned? Any help would be appreciated.",Tech Support
213,EchoWave One Plus Charging Issue - Order #EW12345,"Dear Support Team, I purchased an EchoWave One Plus (Order #EW12345 on March 15, 2024) and have been experiencing charging issues. The device does not hold a charge for more than 2 hours, despite being advertised for 12 hours of battery life. I have tried multiple charging cables and outlets with no improvement. Please advise on next steps for troubleshooting or potential replacement. Thank you.",Tech Support
214,WavePanel Touch buzzing noise issue - Order #12345,"Hi, I bought a WavePanel Touch (order #12345, purchased on 05/15/2023) and it's making a constant buzzing/static noise. Firmware version is 3.6.6. Need this fixed ASAP.",Tech Support
215,Compatibility question about my setup,"Hi, I recently purchased one of your audio products and was wondering if it will work with my current setup. Could you please advise? Thank you!",Tech Support
216,Can't find manual?,Just got my headphones but no manual. Where do I get it?,Tech Support
217,This thing sucks,Volume is crap. Fix it.,Tech Support
218,AuraPods blinking lights issue - Order #12345,My AuraPods (firmware 3.5.9) keep blinking non-stop since yesterday. Fix this crap ASAP. Order #12345 from 10/15/2023.,Tech Support
219,BassHub Pro Limited Touch Panel Not Responding - Firmware 3.0.0,"Hello, I recently purchased the BassHub Pro Limited and have been experiencing issues with the touch panel not responding. The device is running firmware version 3.0.0. I've tried restarting the device and ensuring all connections are secure, but the problem persists. Could you please assist me with troubleshooting steps or advise if this might require a repair? Thank you for your help.",Tech Support
220,Having trouble connecting my AuraPods,"Hi, I recently purchased AuraPods and I can't seem to get them to connect to my phone. Could you please help me with this issue?",Tech Support
221,"Oh wise audio gurus, enlighten me",So I'm supposed to just *know* which of your 50 nearly identical headphones to buy? Maybe throw me a bone here?,Tech Support
222,EchoWave Mini firmware update 3.5.7 totally bricked my device,"Hey guys, so I updated my EchoWave Mini to firmware version 3.5.7 last night and now it's completely dead. Won't turn on, no lights, nothing. I tried resetting it like 10 times but no luck. Order #EWM2023-1147 from June 15th. Can you help me fix this or do I need a replacement? Thanks!",Tech Support
223,"Yo, my BassHub Pro keeps restarting??","Hey, so my BassHub Pro just keeps restarting on its own. Not cool. What's up with that?",Tech Support
224,BassHub Pro Limited keeps restarting - Fix this now!,"I purchased the BassHub Pro Limited (Order #BHPL-2023-4567) on October 15, 2023, and it keeps restarting randomly every 10-15 minutes. This is completely unacceptable for a premium product. I demand an immediate solution or a full refund. What is wrong with it?",Tech Support
225,Could you kindly advise on the best product for my needs?,"Dear Support Team, I hope this message finds you well. I am writing to seek your expert advice regarding which of your wonderful products might be best suited for my particular situation. I'm looking for something that can handle outdoor use with occasional rain exposure, but I'm not entirely sure which model would be most appropriate. Your guidance would be immensely appreciated. Thank you ever so much for your time and assistance. Warm regards,",Tech Support
226,Does your 'modern' product actually work with anything?,"Hey geniuses, I just bought your fancy new SoundBlaster X3000 (order #SBX456789, purchased on 05/15/2024) because the box said 'universal compatibility.' Surprise! It won't connect to my perfectly good 2012 stereo system. Is this thing just a paperweight for anyone who doesn't upgrade their gear every 6 months? Or am I missing some secret tech support handshake to make it work?",Tech Support
227,Which model would you recommend?,I'm looking to purchase a new audio product but I'm not sure which model would best suit my needs. Could you provide some guidance?,Tech Support
228,EchoWave One Plus Firmware Update Failed,"Hello, I recently purchased the EchoWave One Plus (Order #EW456789, purchased on March 15, 2024) and attempted to update the firmware as prompted. However, the update failed midway, and now the device won't turn on. I followed all the instructions carefully. Could you please advise on how to resolve this issue? Thank you for your help.",Tech Support
229,WHY DOES MY ECHOWAVE ONE PLUS KEEP RESTARTING??,I BOUGHT THIS THING RECENTLY AND IT WON'T STOP RESTARTING. WHAT'S THE DEAL?? FIX IT NOW!,Tech Support
230,Charging Issue with EchoWave One Plus (Order #EW2023-45678),"Dear Support Team,

I hope this message finds you well. I am writing to kindly seek your assistance regarding a charging issue I've been experiencing with my EchoWave One Plus (Order #EW2023-45678, purchased on October 15, 2023). The device is currently running firmware version 5.0.0, and I've noticed that it takes an unusually long time to charge, and sometimes doesn't charge at all despite using the original charger and cable. I've tried different outlets and even a different cable, but the issue persists. I would greatly appreciate any guidance or troubleshooting steps you could provide to resolve this matter. Thank you so much for your time and help.

Warm regards,
[Your Name]",Tech Support
231,BassHub Pro Limited - Won't Charge (Order #BHPL-2023-4567),"Hey 'tech wizards', my BassHub Pro Limited (purchased on 10/15/2023, Order #BHPL-2023-4567) has decided it's too cool to charge now. Plugged it in, light comes on, but battery stays at 0% like my patience. Tried different cables, outlets, even whispered sweet nothings to it—nothing works. Is there a secret handshake or are you sending me a replacement?",Tech Support
232,WILL THIS WORK OR NOT???,I BOUGHT THIS THING AND I DON'T EVEN KNOW IF IT'LL WORK WITH MY STUFF. THIS IS RIDICULOUS.,Tech Support
233,SoundBar Flex won't turn on?,"Hi, my SoundBar Flex isn't turning on. I think it's running firmware 2.7.8. Is there a known issue with this version? How do I fix this?",Tech Support
234,,"Wow, amazing app. Really intuitive. What exactly is it supposed to DO?",Tech Support
235,Question about battery life for AudioPro X3 headphones,"Hi there, I recently purchased the AudioPro X3 headphones (order #APX3-78945 on May 15, 2024) and I'm very satisfied with them so far. I was wondering if you could provide more details about the expected battery life under normal usage conditions? The product page mentions 'up to 30 hours' but I'd like to know if this varies based on volume levels or active noise cancellation usage. Thanks for your help!",Tech Support
236,Need advice on choosing the right headphones,I'm looking for headphones suitable for studio recording. Could you recommend a model from your product line that would be best for this purpose?,Tech Support
237,EchoWave One Plus Microphone Not Working - Order #EW20231115,"Hi there, I purchased the EchoWave One Plus on November 15, 2023 (Order #EW20231115). I've been really happy with the product overall, but I'm having an issue with the microphone. It stopped working suddenly yesterday. I've tried restarting the device and checking the settings, but no luck. Could you please help me troubleshoot this? Thanks!",Tech Support
238,Why won't my EchoWave One connect?,"I've tried everything to get this thing to pair with my phone. It's supposed to 'just work', right? Maybe you can tell me what I'm doing wrong since your product clearly can't figure it out.",Tech Support
239,EchoWave One Won't Turn On - Order #EW12345,"I purchased the EchoWave One on March 15th, 2024 (Order #EW12345), and it arrived on March 20th. After setting it up exactly as instructed, the device refuses to turn on. I’ve tried different outlets, resetting it, and even leaving it unplugged overnight—nothing works. This is incredibly frustrating for a product that’s supposed to be 'premium.' I’d appreciate it if you could explain why this happened and how you plan to fix it. Thanks.",Tech Support
240,PulseDock Firmware 5.3.3 - Blinking Lights Issue,"Dear Support Team,

I recently purchased a PulseDock (Order #PD-2023-45678, purchased on October 15, 2023) and have been experiencing an issue with blinking lights. The device is running firmware version 5.3.3. The lights blink continuously even when the device is not in use, which seems unusual. I've tried restarting the device and checking for firmware updates, but the issue persists.

Could you please advise on how to resolve this? Thank you for your assistance.

Best regards,
[Your Name]",Tech Support
241,PulseDock is trash,Won't work after update. Fix it.,Tech Support
242,HOW LONG DOES THE BATTERY LAST ON MY WAVELINK PRO HEADPHONES? ORDER #WL20231115-45678,"I BOUGHT THESE DAMN WAVELINK PRO HEADPHONES ON NOVEMBER 15TH, 2023 (ORDER #WL20231115-45678) AND THE BATTERY LIFE IS A JOKE! YOUR WEBSITE SAID 30 HOURS BUT I'M GETTING LIKE 10 HOURS MAX. WHAT'S THE DEAL? I NEED ANSWERS NOW!",Tech Support
243,What do I need for your app?,Just bought your product. What are the requirements to run the app properly? Don't make me search through your website.,Tech Support
244,What does the app require to work?,"Hi, I just downloaded your app but it's not working properly. What does it need to function correctly? Do I need any special permissions or hardware? Thanks!",Tech Support
245,"Yo, my PulseDock mic is dead?","Hey, so like... my PulseDock's mic just stopped working outta nowhere. Tried restarting and stuff, no luck. What's up with that?",Tech Support
246,Question about battery life,"Dear Support Team, I hope this message finds you well. I recently purchased one of your wireless headphones and I was wondering if you could kindly provide me with some information regarding the battery life. Specifically, how long can I expect the battery to last on a single charge under normal usage conditions? I would be ever so grateful for any insights you might be able to share. Thank you so much for your time and assistance. Warm regards,",Tech Support
247,Could you kindly provide some information about the features?,"Hello there, I hope this message finds you well. I recently purchased one of your audio products, and I was wondering if you might be able to provide me with some details about its features? I want to make sure I'm getting the most out of it. Thank you ever so much for your time and assistance!",Tech Support
248,WHY WON'T MY BASSHUB PRO TURN ON???,I JUST UPDATED TO FIRMWARE 2.2.1 AND NOW IT'S DEAD. WHAT DID YOU DO?? FIX THIS NOW!,Tech Support
249,SoundBar Flex not working - what's going on?,Just got the SoundBar Flex and there's no sound coming out. This is unacceptable. How do I fix this NOW?,Tech Support
250,,Love the app! But what does it need?,Tech Support
251,"Hey, my AuraPods won't pair?","Yo, what's up with the Bluetooth on these AuraPods? Running firmware 4.9.1 and they just refuse to connect. Help a bro out?",Tech Support
252,WHY WON'T MY BASSHUB PRO LISTEN TO ME???,I BOUGHT THIS THING LAST WEEK AND THE VOICE ASSISTANT IS COMPLETELY USELESS. IT JUST IGNORES ME. WHAT'S THE POINT OF A SMART SPEAKER THAT'S DUMB?? FIX THIS NOW!,Tech Support
253,Question about battery life,"Hi, I recently purchased one of your wireless headphones and was wondering how long the battery typically lasts on a single charge? Thanks for your help!",Tech Support
254,Question about AuraPods Gen 2 overheating,"Hello, I recently purchased the AuraPods Gen 2 and noticed they tend to overheat during use. Is this normal or should I be concerned?",Tech Support
255,Need advice on setting up SoundBlaster X4 for home studio,"Hello, I recently purchased a SoundBlaster X4 (order #SBX4-2023-45678 on October 15, 2023) for my home studio setup. I'm having trouble configuring the audio routing for simultaneous recording and monitoring through my DAW (Ableton Live 11). Could you please advise on the optimal settings for low-latency monitoring while recording vocals? I'm using Windows 11 with ASIO drivers. Thank you for your help!",Tech Support
256,Need help understanding my product,I just got this thing and have no idea what it can do. The manual is useless.,Tech Support
257,Having trouble pairing my AuraPods?,"Dear Support Team, I hope this message finds you well. I'm reaching out regarding my AuraPods Gen 2, which seem to be having some difficulty pairing via Bluetooth. I've tried resetting them and ensuring my device's Bluetooth is on, but to no avail. They're currently running firmware version 4.1.6. I was wondering if you might have any suggestions or if this is a known issue? Thank you ever so much for your time and assistance. Warm regards,",Tech Support
258,Need help with my BassHub Pro,It's not making any sound... I'm not sure what's wrong.,Tech Support
259,What does the app require to work properly?,"Hello, I recently downloaded your audio app but I'm not sure what it needs to function correctly. Could you please let me know the requirements? Thank you!",Tech Support
260,Question about product features,"Hi, I recently purchased one of your headphones but I'm not sure about all the features it has. Could you provide more details? Thanks!",Tech Support
261,Can't find the manual for my AudioPro X3 headphones - Order #APX34567,"Hi, I recently purchased the AudioPro X3 headphones (Order #APX34567 on May 15, 2024) but I can't seem to find the manual. I checked the box and there's just the warranty card and a quick start guide. Could you please send me a link to the full user manual? Also, does it include instructions for the advanced noise cancellation settings? Thanks!",Tech Support
262,App issue,What does the app need to work properly?,Tech Support
263,Compatibility question about my headphones,"Hi, I just bought your wireless headphones but I'm not sure if they work with older devices? Like my 10-year-old stereo system? And does it need any special adapters? The manual wasn't clear about this.",Tech Support
264,SoundBar Flex - Won't Turn On (Because Apparently It's Too Good to Work),"Hey geniuses,

So I bought your amazing SoundBar Flex (order #SB2023-45678, purchased on 2023-11-15) and guess what? It’s a fancy paperweight now. Won’t turn on. Firmware version is 5.3.7, not that it matters since it’s DEAD. I’ve tried everything short of sacrificing a goat to the tech gods. What’s the secret handshake to make this thing work? Or do I just return it and buy something that actually functions?

Thanks for the ‘great’ product,
A Very Thrilled Customer",Tech Support
265,My BassHub Pro keeps restarting - help?,"Hello, I recently purchased the BassHub Pro Limited and it keeps restarting on its own. I'm not sure what's causing this issue. Could you please advise on how to fix it? Thank you!",Tech Support
266,"Hey, need some advice on your stuff","So I got one of your wireless earbuds, but I'm not sure which model is best for running. Can you help me out?",Tech Support
267,WavePanel Touch mic issue,"Hi, the microphone on my WavePanel Touch isn't working. I've tried restarting it but no luck. Can you help?",Tech Support
268,BassHub Pro Limited won't connect - Fix this now!,"Order #BHPL2023-456, purchased on 10/15/2023. The damn thing won't connect no matter what I try. Firmware version is 5.8.9. What's wrong with your product? I need this fixed ASAP.",Tech Support
269,"Yo, why can't my app find the StreamLink Hub?","Hey, so I got this StreamLink Hub but the app just won't see it. Tried restarting and all that. What's the deal?",Tech Support
270,PulseDock Bluetooth pairing issue?,"Hi, my PulseDock won't pair with any of my devices. I'm on firmware 3.3.2. What's going on?",Tech Support
271,What permissions does the app require?,"Hi, I just installed your audio app and noticed it's asking for several permissions. Could you clarify why these are needed and how they're used? I want to make sure my data is safe. Thanks!",Tech Support
272,Is the SoundBlaster X3 waterproof?,Order #SBX3-2023-45678 from 10/15/2023. Your website doesn't say if it's waterproof. I need to know NOW before my boat trip this weekend.,Tech Support
273,WavePanel Touch Buzzing Noise Issue - Order #WP20231115-42,"Dear Support Team, I hope this message finds you well. I am writing to kindly request your assistance regarding an issue I've encountered with my WavePanel Touch (Order #WP20231115-42, purchased on November 15, 2023). The device has been producing a persistent buzzing or static noise, which has become quite bothersome during use. I have ensured that all connections are secure and have updated the firmware to version 2.8.6 as recommended, but the issue persists. I would greatly appreciate any guidance or troubleshooting steps you might offer to resolve this matter. Thank you ever so much for your time and support. Warm regards,",Tech Support
274,Love my EchoWave One but it keeps restarting?,"Hey there! I'm absolutely loving my EchoWave One, but it keeps restarting on its own. I'm on firmware version 5.2.9. Any tips to fix this? Thanks!",Tech Support
275,BassHub Pro - Blinking Lights Extravaganza,"Hey geniuses, my BassHub Pro (order #BH-2023-45678, purchased on 10/15/2023) has decided to turn into a disco ball. The lights keep blinking non-stop, which is great if I wanted to throw a rave, but not so great for actually using it as an audio interface. I've tried turning it off and on (shocking, I know), but the light show continues. What's the deal? Do I need to send it back or is there some secret button combo to make it stop?",Tech Support
276,StreamLink Hub not working,The voice assistant isn't responding at all. What's going on?,Tech Support
277,Why can't the app find my EchoWave One?,I just updated to firmware 4.2.9 and now the app can't find my device. This is ridiculous. Fix it.,Tech Support
278,Compatibility question about my new headphones,"Hi, I recently purchased your wireless headphones and wanted to check if they're compatible with Windows 11. Could you let me know? Thanks!",Tech Support
279,Need advice on choosing the right product,"Hello, I'm looking for some guidance on which of your products would be best for my needs. I'm not entirely sure what to choose. Could you help me out?",Tech Support
280,BassHub Pro Limited - Bluetooth Pairing Issues,"Hey geniuses, just got my BassHub Pro Limited (Order #BHPL-2023-4567, purchased on 10/15/2023) and guess what? The Bluetooth won't pair with anything. Tried my phone, tablet, even my toaster - nada. Followed your 'easy setup guide' (which was neither easy nor a guide) and still nothing. What's the secret handshake here?",Tech Support
281,What permissions does the app require?,"Hi there, I just installed your audio app and was wondering what permissions it needs to function properly. Could you clarify? Thanks!",Tech Support
282,SoundBar Flex won't turn on - Order #SB2023-4567,"Hi, I purchased the SoundBar Flex on October 15, 2023 (Order #SB2023-4567) and it suddenly stopped turning on yesterday. The firmware version is 5.9.4. I've tried different power outlets and cables, but nothing works. Please advise on how to resolve this issue.",Tech Support
283,StreamLink Hub firmware issue?,"Hi, I think my StreamLink Hub might have a firmware problem. It stopped working after what seemed like an update. Could you help me figure out what's wrong?",Tech Support
284,What does this thing even do?,Bought your product. No idea what features it has. Why is this not clear?,Tech Support
285,help!!!,yo my basshub pro is dead silent wtf,Tech Support
286,PulseDock voice assistant not working?,I recently bought a PulseDock and the voice assistant isn't responding at all. Tried restarting it a few times but no luck. What's going on?,Tech Support
287,Help with SoundBar Flex,The lights keep blinking and I'm not sure what to do. Can you help?,Tech Support
288,EchoWave One Plus volume issue - Order #EW2023-4567,"Hello, I purchased the EchoWave One Plus (Order #EW2023-4567, purchased on 10/15/2023) and have been experiencing extremely low volume output. I've checked all settings and ensured the firmware is up to date (currently on version 4.0.1). This is very frustrating as I use this device daily for work calls. Please advise on how to resolve this issue or if a replacement is needed.",Tech Support
289,App issue,What does this app even need to work properly? It's so frustrating.,Tech Support
290,WTF is wrong with these earbuds??,keeps dropping connection for no reason. fix this pls,Tech Support
291,"Oh dear, I'm ever so sorry to bother you...","I do hope this message finds you well. I must confess, I'm at a bit of a loss with my BassHub Pro. The lights seem to be blinking in a most peculiar fashion, and I'm terribly worried I might have done something wrong. I would be ever so grateful for any assistance you might offer, if it's not too much trouble, of course.",Tech Support
292,Need help NOW,What's the best product for my setup? I don't have time for this.,Tech Support
293,WavePanel Touch not connecting to app,"Hi, I recently got the WavePanel Touch and I'm having trouble getting the app to find the device. Everything else seems to work fine. Any suggestions?",Tech Support
294,AURAPODS WON'T CHARGE - ORDER #AU12345 - NEED FIX NOW!,"I BOUGHT THESE AURAPODS ON OCTOBER 15TH (ORDER #AU12345) AND THEY STOPPED CHARGING AFTER THE 3.3.0 FIRMWARE UPDATE! I'VE TRIED EVERYTHING - DIFFERENT CABLES, DIFFERENT CHARGERS, RESETTING THEM - NOTHING WORKS! THIS IS UNACCEPTABLE FOR A $200 PRODUCT! FIX THIS OR I'M RETURNING THEM AND LEAVING A 1-STAR REVIEW!",Tech Support
295,Why won't my AuraPods connect?,I've been trying to connect my AuraPods with firmware version 2.1.3 but they just won't pair with my phone. I've tried resetting them multiple times. What's going on?,Tech Support
296,waterproof??,is this thing waterproof or not?,Tech Support
297,EchoWave Mini buzzing noise issue - Order #EWM20230515,"I purchased the EchoWave Mini on May 15, 2023 (Order #EWM20230515) and it's producing a constant buzzing/static noise. I've updated to firmware version 2.1.3 but the issue persists. This is unacceptable for a premium product. I demand an immediate solution or a replacement.",Tech Support
298,WHAT MODEL SHOULD I BUY? NEED ANSWERS NOW!,I'M LOOKING TO BUY A NEW HEADPHONE BUT YOUR WEBSITE HAS TOO MANY OPTIONS. I NEED SOMETHING FOR GAMING AND MUSIC. WHAT'S THE DIFFERENCE BETWEEN THE SONIC-X500 AND THE BASS-BOOST 2000? I NEED A CLEAR ANSWER TODAY OR I'M GOING TO A COMPETITOR!,Tech Support
299,EchoWave One Plus voice assistant issue,"Hi, I'm having trouble with my EchoWave One Plus - the voice assistant isn't responding. It's running firmware version 4.3.8. Could you help me troubleshoot this? Thanks!",Tech Support
300,Is this thing waterproof or what?,Bought your headphones. Can I swim with them? Don't see any info.,Tech Support
301,Love my BassHub Pro but having touch panel issues?,"Hey there! I'm absolutely loving my BassHub Pro, but I'm having some trouble with the touch panel not responding. Is this something you can help me with? Thanks!",Tech Support
302,OMG the lights!!!,Love my PulseDock but the lights won't stop blinking!!! What's happening??,Tech Support
303,Why aren't my AuraPods buttons working?,Just got the AuraPods Gen 2 and the buttons don't work at all. Firmware is 3.1.8. Fix this ASAP.,Tech Support
304,Need help choosing,I don't know what to get for my setup. Everything is confusing.,Tech Support
305,Love it but...,No sound?? Help!,Tech Support
306,CAN YOUR PRODUCT WORK WITH OLDER DEVICES???,I BOUGHT YOUR STUPID SPEAKER AND IT WON'T CONNECT TO MY OLD STEREO. WHAT'S THE POINT IF IT DOESN'T WORK WITH EVERYTHING??,Tech Support
307,Having some trouble with my BassHub Pro Limited touch panel,"Hello there, I hope this message finds you well. I wanted to reach out regarding an issue I'm experiencing with my BassHub Pro Limited. The touch panel seems to be unresponsive, and I've checked to ensure the firmware is up to date (version 4.4.4). I was wondering if you might have any suggestions or if this is something that requires further assistance? Thank you so much for your time and help in advance!",Tech Support
308,Help with BassHub Pro,It won't connect...,Tech Support
309,BassHub Pro no sound issue - Order #BH2023-4567,"Just got my BassHub Pro (Order #BH2023-4567, purchased 10/15/2023). Updated to firmware 3.6.1 but getting no sound at all. Tried different cables and sources - nothing works. Need help ASAP.",Tech Support
310,Question about AuraPods Gen 2 buzzing noise,"Hi, I recently purchased the AuraPods Gen 2 and noticed a buzzing or static noise when using them. Is this normal or is there something I can do to fix it? Thanks for your help.",Tech Support
311,Compatibility check for SoundBlaster X4 with my setup,"Hi, I ordered the SoundBlaster X4 (order #SBX4-2024-5678 on 05/15/2024). Need to know if it works with Windows 11 and my ASUS ROG Strix B550 motherboard. The specs say it should but I saw some forum posts about driver issues. Can you confirm before I open the box?",Tech Support
312,Could you kindly assist with my EchoWave One disconnecting?,"Hello there, I hope this message finds you well. I wanted to reach out regarding my EchoWave One, which has been experiencing some rather frustrating random disconnections. I've tried troubleshooting on my end, but I'm afraid I haven't had much luck. Would you be so kind as to guide me through resolving this issue? Many thanks in advance for your assistance.",Tech Support
313,EchoWave Mini keeps disconnecting,"Hi, my EchoWave Mini keeps disconnecting randomly. It happens a few times a day and is really frustrating. Can you help me fix this?",Tech Support
314,SoundBar Flex keeps restarting - Order #SB2023-45678,"Hello, I purchased the SoundBar Flex (Order #SB2023-45678) on October 15, 2023, and it has been working fine until recently. The device keeps restarting randomly, especially when using Bluetooth mode. I've checked the firmware version, which is 4.2.7, and made sure it's up to date. Could you please advise on how to resolve this issue? Thank you for your help.",Tech Support
315,Why do my AuraPods keep restarting?,"Hi, I've been having issues with my AuraPods constantly restarting. It's really frustrating because I can't listen to anything without interruptions. Can you help me figure out what's going on?",Tech Support
316,BassHub Pro Limited - No sound issue,"Hello, I'm experiencing no sound from my BassHub Pro Limited. The firmware version is 4.6.0. Could you please assist with troubleshooting this issue?",Tech Support
317,Question about required app permissions for SoundBlaster X3,"Hello, I recently purchased the SoundBlaster X3 (Order #SBX3-2023-4567 on October 15, 2023) and I'm setting up the Creative app on my Android phone. The app is asking for several permissions like location, microphone access, and storage. Could you clarify which permissions are absolutely necessary for the core functionality of the device? I want to make sure I'm only granting what's needed. Thank you for your help!",Tech Support
318,Question about AuraPods charging,"Hi there, I'm having some trouble with my AuraPods not charging properly. They seem to take much longer than usual to charge fully. Is this normal or is there something I can do to fix it? Thanks for your help!",Tech Support
319,WHY WON'T MY BASSHUB PRO LIMITED WORK???,THE VOICE ASSISTANT IS COMPLETELY DEAD! I'VE TRIED EVERYTHING AND IT STILL WON'T RESPOND. FIRMWARE 4.9.8. FIX THIS NOW!,Tech Support
320,Missing Manual for SoundBlaster X3 (Order #SBX34567),"I ordered the SoundBlaster X3 on October 15th (Order #SBX34567), and it arrived yesterday. Surprise, surprise—there's no manual in the box. Not even a quick start guide. I guess I'm supposed to just magically know how to set it up? Could you kindly send me a PDF or something, since apparently the physical copy was too much to include?",Tech Support
321,Question about product features,"Hi, I recently purchased one of your wireless earbuds and was wondering what features it has. Could you provide more details? Thanks!",Tech Support
322,AuraPods Bluetooth Pairing Issue - Order #AU456789,"Dear Support Team, I purchased the AuraPods (Order #AU456789) on March 15, 2024, and have been experiencing issues with Bluetooth pairing. The firmware version is 3.9.6. The pods are not being detected by my smartphone (iPhone 13, iOS 17.4). I've tried resetting both the pods and my phone, but the issue persists. Could you please assist with troubleshooting or advise if a replacement is needed? Thank you.",Tech Support
323,EchoWave One buttons not working?,"Hi, I recently purchased an EchoWave One and the buttons don't seem to be working properly. Could you please advise on what might be wrong or how to fix this? Thank you!",Tech Support
324,Having trouble with Bluetooth pairing on my BassHub Pro Limited,"Dear Support Team, I hope this message finds you well. I am reaching out regarding an issue I've been experiencing with my BassHub Pro Limited. Specifically, I'm having difficulties getting the Bluetooth to pair properly. I've tried multiple devices and the issue persists. The firmware version is 3.3.5. I was wondering if you might have any suggestions or solutions to resolve this matter? I would greatly appreciate any assistance you could provide. Thank you so much for your time and help. Best regards,",Tech Support
